00-91	AMASync1	AMANDA_SYNC_DOM	1e5b72775d19
59-49	UP5P1028	New_Mexico	6b861fd13e9a
59-50	TP5P0947	Concord	c1c6c5f74dd1
59-51	UP5H0174	Medborgarplatsen	86438b93c165
59-52	TP5H0199	T_Centralen	93728135e247
59-53	UP5P1008	Ohio	d547993f356f
59-54	TP5P0867	Olympia	f4c714b6d55e
59-55	UP5Y0128	Lexus_LS	ac6578dd6de3
59-56	TP5Y0131	Potsdamer_Platz	4212834c6c88
59-57	UP5P0812	Criminology	d693f9382554
59-58	TP5P0803	Urology	64b2d010efce
59-59	UP5P0800	Cosmology	e018a94590f6
59-60	TP5P0783	Psychology	34fac78933aa
59-61	AP5P0448	Ontology	f6198104eb64
59-62	AP5P0418	Polyphobia	0b8767be6653
59-63	AP5P0434	Mythology	e6173aaa9722
59-64	AP5P0413	Mermaid	23f9bc167181
60-01	UP6P1750	Qantas_Air	9b01e4540289
60-02	TP7Y4585	Caeroesi	8f37ba45506d
60-03	UP6P1254	Bergamot	0289339a63d4
60-04	TP6Y4405	Labama	6e4caf27928c
60-05	UP6P1780	Eritrean_Airlines	18c2470c075b
60-06	TP7Y4515	Odalix	2bd21deafac6
60-07	UP6P1752	Armavia	0f9b958a1f07
60-08	TP7Y4565	Helvii	cdc1069c7b26
60-09	UP7Y4570	Boii	77fbadc8edc7
60-10	TP6P1681	Godfather	ed9c00b2c877
60-11	UP6P1860	Piave	f10da565e28e
60-12	TP7Y4597	Morinii	91033958c643
60-13	UP6P1880	Brie_De_Meaux	e0702acd3dd2
60-14	TP6P1767	Finnair	c56dea994ced
60-15	UP6P1712	Air_Botswana	ca3b900516ba
60-16	TP6P1799	SN_Brussels_Airlines	5ba8697e115c
60-17	UP6Y4320	Mbombe	d30c379c754b
60-18	TP6P1785	Atlantic_Airways	5b5ff552d618
60-19	UP7Y4544	Vellavi	eec2bf39c9f1
60-20	TP6P1457	Deshka_River	ad401407a8e5
60-21	UP6P1558	Street_Fighter	e9ee96a012da
60-22	TP6P1741	Dirty_Dozen	7cd341f8827e
60-23	UP6P1502	Chilkat_River	983befee4930
60-24	TP7Y4487	Labeldecadix	b911d6a42fcd
60-25	UP6P1718	Bulgaria_Air	392e407cbc80
60-26	TP6P1765	Air_Guyane	2f1df844689e
60-27	UP7Y4548	Sequani	4cb2cf8e6e89
60-28	TP6P1533	Troff	e4dcd42aa5dc
60-29	UP6Y4462	Jiuhuashan	0af45037427b
60-30	TP6P1569	Mortalkombat	ff6e5c40293d
60-31	UP7Y4554	Tricasses	44f23d7ce700
60-32	TP7Y4573	Santones	f60fcd0c3326
60-33	UP7Y4562	Nervii	e7ec1cef8f48
60-34	TP7Y4523	Lentix	7313851678cb
60-35	UP6Y4384	Kibo	2c54499a75db
60-36	TP7Y4593	Osismii	0b28a23ea6bd
60-37	UP6P1858	Grana_Padano	151dec3fc1fd
60-38	TP7P2139	Comte	fe8ccf6d03ed
60-39	UP6Y4316	Anangama	8806ac450665
60-40	TP7Y4595	Ambivareti	1fdcd7566a6a
60-41	UP7Y4586	Ambarri	1bcc88ebddc1
60-42	TP6Y4387	Obatala	e12a17ffaf4e
60-43	UP7Y4558	Silvanecti	26524d584d77
60-44	TP6Y4507	Uhlakanyana	b370dc3b45d3
60-45	UP5Y0068	Delorean_GTish	cca7531ba832
60-46	TP7Y4557	Senones	50ed7cb3d9e1
60-47	UP6Y4302	Ntoro	538d0d775e44
60-48	TP6Y4247	Kitamba	aa51b0898005
60-49	UP6Y4240	Olodumare	7da7b4b50f6e
60-50	TP6Y4235	Balanza	e38fb99f9d50
60-51	UP6Y4352	Inaruchaba	eb2314ab2702
60-52	TP6Y4389	Imana	12de691467fe
60-53	UP7Y4514	Tragicomix	7181628bf4bf
60-54	TP7Y4491	Racinecubix	5425f7627b51
60-55	UP6Y4406	Schango	bfce23980286
60-56	TP7P2111	Mascarpone	390a5bd05d95
60-57	UP7P2120	Gloucester	634a2e26456e
60-58	TP6Y4263	Miri	0577bb2d2e14
60-59	UP6P1796	Oyster	73bbabe8088b
60-60	TP7P2125	Camembert	7c413d244c8b
60-61	AP6P1169	Cordoba	7f2f3283e323
60-62	AP6P1175	Miletus	744cbbaa0e2c
60-63	AP6P1162	Byzantium	9ff0a5e24485
60-64	AP6P1174	Ephesus	2676cdb605b1
61-01	UP6P1746	LIAT_Air	855b78c7bbd7
61-02	TP6P1871	Nudibranch	444b9d057657
61-03	UP4H0044	Danderyd	d349582c0d72
61-04	TP6P1747	Chiton	a4ed3f710c7d
61-05	UP7Y4582	Ambibarii	90078d8de637
61-06	TP6P1783	Air_Ivoire	695e408742b4
61-07	UP6P1710	Avianca	888f145bf593
61-08	TP6P1755	Brain_Coral	0b676a9fbfb9
61-09	UP6P1594	Colonel_Korn	9b886bd1dd4a
61-10	TP6P1833	Chatham_Island	3c7d5134bde1
61-11	UP7Y4598	Isarci	3237b469113e
61-12	TP6P1745	Coffee_Bean_Trivia	67904b8d89c9
61-13	UP6P1646	Mrs_Daneeka	471ab118a1d2
61-14	TP6P1733	Saturday_Night_Fever	364bd7e21343
61-15	UP6P1648	Colonel_Cathcart	87a00f4d1afc
61-16	TP5H0143	Ladusvala	fc00b79feaa6
61-17	UP6P1678	Planet_Of_The_Apes	6db533314e35
61-18	TP6P1753	Goldfinger	aebe576fa94f
61-19	UP6P1632	Barry_Lyndon	9a8b4114fb63
61-20	TP6P1689	Triton	acce9a2e9b1e
61-21	UP6P1788	Tiger_Cowrie	ed4e1a9696a3
61-22	TP6P1763	Toumai_Air_Tchad	78e0ec88d0ac
61-23	UP6P1550	Tetris	09277ea21454
61-24	TP7Y4561	Ceatrones	2b2ea3014552
61-25	UP5P0672	Leukophobia	7b0de8658562
61-26	TP6P1845	Light_Bulb_Anemone	7db03665311d
61-27	UP6Y4400	Keb	f4328f8e7ab5
61-28	TP6P1793	Belavia_Air	5a2c88b21b27
61-29	UP6P1814	Limpet	bd394598ad8c
61-30	TP6P1685	Apocalypse_Now	6de7f063e6bf
61-31	UP6P1624	Corporal_Whitcomb	42610a4b0e38
61-32	TP6P1281	Norman_Bates	b97ac6d30fa9
61-33	UP6P1656	French_Connection	54a120dda28a
61-34	TP6P1591	Defender	f36df3b14c18
61-35	UP6P1872	Molokai	f4a40b0f8a57
61-36	TP6P1807	Lacsa_Air	2869c02e6591
61-37	UP6P1812	Man_O_War	8d87a4267113
61-38	TP6P1709	Reef_Octopus	0150f43b5dd8
61-39	UP6P1816	Wonderpus	ab5778412adb
61-40	TP5P0901	Pipe_Nebula	4e91dba20cf8
61-41	UP6P1342	Lagoon	73b00e665f2e
61-42	TP6P1645	Air_Santo_Domingo	664f0608bcdc
61-43	UP6P1744	Christmas_Tree_Worm	d5353deb3b0a
61-44	TP6P1495	Nowitna_River	beb99388e502
61-45	UP6P1722	Tube_Sponge	5cdfbc416703
61-46	TP6P1771	Cameroon_Airlines	7a4f525d4fc2
61-47	UP6P1856	Australia	6aec9c3c3f95
61-48	TP7Y4583	Unelli	c22032943c3d
61-49	UP6P1714	LAN_Airlines	bd2a907ee5dd
61-50	TP6P1791	Cyprus_Airways	f1ded618bb03
61-51	UP6P1740	Africa	3a79df1b9d01
61-52	TP6P1769	BH_Airlines	7132be090e0f
61-53	UP6P1756	Bahamas_Air	ea6e0d3a4543
61-54	TP6P1797	Albanian_Airlines	420e63988874
61-55	UP7Y4556	Pictavii	48149a34200f
61-56	TP6P1849	Lettuce_Sea_Slug	94920e15e39e
61-57	UP4P0178	Lettuce	98d37e15af38
61-58	TP7Y4601	Ambiani	663bc1ef3b68
61-59	UP6P1720	Isopod	78487155b334
61-60	TP6P1789	TAMELAN_Ecuador	8be3636f1264
61-61	AP6P1178	Sparta	91ffac3f58d8
61-62	AP6P1189	Cologne	cd450cc5aa3b
61-63	AP6P1190	Paris	1fa77135a59c
61-64	TP6P1883	Johnston_Atoll	434978d8d833
62-01	UP7P2270	Laurelin	1d18c32e7022
62-02	TP6H7629	Taberg	48258da55845
62-03	UP7P2310	Illini_Nation	58b816d60fb8
62-04	TP7P2315	Wendat_Tribe	d5d06279601f
62-05	UP7P2352	Mad_Hungarian	8b8bcde663e4
62-06	TP7P2345	The_Say_Hey_Kid	36043ed0c836
62-07	UP7P2256	Glamdring	7c12d72cb07b
62-08	TP7P2115	Jarslberg	9112339920e2
62-09	UP7P2168	Winnie_The_Pooh	b5c962456627
62-10	TP7P2279	Nez_Perce_Tribe	d636126fd265
62-11	UP7P2210	Neck	1f722680a125
62-12	TP7P2113	Metsovone	9ce319648c1c
62-13	UP7P2170	Ariel	8d78210718e2
62-14	TP7P2171	Peter_Pan	081656ae4c58
62-15	UP6P1784	Austrian_Airlines	56be376c054f
62-16	TP7P2165	Pinocchio	95dee10d663c
62-17	UP7P2340	The_Big_Hurt	95f5b9b2eb39
62-18	TP7P2353	The_Babe	0fa8bcc670e6
62-19	UP7P2350	Wild_Thing	7e5657413e5d
62-20	TP7P2209	Christopher_Robin	d545271dc584
62-21	UP6P1854	Guadalcanal	db0a3f475ab7
62-22	TP7P2217	Roo	f1ab2e182ebf
62-23	UP7P2376	Death_to_Flying_Things	2cb38ee0f51e
62-24	TP7P2313	Seneca_Nation	69c98fcb129b
62-25	UP7P2190	Pocahontas	62ad1feccd4d
62-26	TP7P2341	Crow_Nation	e37203ef5b66
62-27	UP7P2304	Nooksack_Tribe	d3ee1ad66424
62-28	TP7P2365	The_Big_Train	bdae47284121
62-29	UP7P2314	Coushatta_Nation	8fcea300a7fe
62-30	TP7P2167	Jiminy_Cricket	53ea87335d97
62-31	UP7P2318	Tocobaga_Tribe	807b30914678
62-32	TP7P2213	Piglet	5334a99f05bc
62-33	UP6P1668	Wild_Bunch	0bfb4e931f8a
62-34	TP7P2211	Sarabi	3ad8d982fbeb
62-35	UP7P2172	Tinker_Bell	dcdf977fd4b5
62-36	TP7P2197	Maleficent	f81c74216601
62-37	UP7P2316	Quapaw_Tribe	3cc08972778e
62-38	TP7P2277	Chinookan_Tribe	5beca48d2e43
62-39	UP7P2232	Maia	972801d5a85e
62-40	TP5P0735	Cerulean_Blue	4e5385cea8c8
62-41	UP6P1820	Nukulaelae	f5af8df5c8d5
62-42	TP7P2155	Roncal	873ec91ce32f
62-43	UP7P2312	Mohawk_Tribe	c1f63f005884
62-44	TP7P2319	Blackfoot_Tribe	695861a4183e
62-45	UP7P2174	Geppeto	6352ec1fc975
62-46	TP7P2321	Mantaukett_Tribe	354764f13e54
62-47	UP6P1636	Star_Wars	66805237071b
62-48	TP7P2369	Mr_Cub	a8a57f19d622
62-49	UP7P2166	The_Little_Mermaid	5d9cdac9e05e
62-50	TP7P2317	Oneida_Nation	aa4152bc61f5
62-51	UP7P2302	Ottawa_Tribe	b3aee61fe0d5
62-52	TP7P2275	Sauron	1863f33f159b
62-53	UP7P2306	Kaskaskia_Nation	4fbdfaf92c34
62-54	TP7P2247	Earendil	3f0c7f61d176
62-55	UP7P2386	The_Bird	91aa5c81e82f
62-56	TP7P2257	Angmar	55305bfb5fd5
62-57	UP7P2276	Palantir	b8fc657750ab
62-58	TP7P2343	Stan_the_Man	381daade65c8
62-59	UP7P2338	Rapid_Robert	a828f2b261fb
62-60	TP7P2265	Numenor	3444ff6aa351
62-61	AP6P1138	Blind_Stop	e407b3653520
62-62	AP6P1109	Pit_Stop	a14b4c140eef
62-63	AP6P1110	Bump_Stop	d1276f7cc60d
62-64	AP5P0427	Musicology	cb35bed0a1b5
63-01	UP5P0508	Chinook	b1cdc0f842c1
63-02	TP5P0893	Atlanta	292214381c35
63-03	UP5P0626	Genuphobia	f713a2dc64b1
63-04	TP6P1599	Amber_Color	5a3b102f61c5
63-05	UP6P1470	Yentna_River	07a956acdd2f
63-06	TP5Y0177	Angelia_Coupe	ae7cc610e8de
63-07	UP5P0832	Ethnomusicology	3fb02132dd71
63-08	TP6P1595	Asteroids	73406bd01843
63-09	UP5P0762	Exobiologyish	e4684c0559bd
63-10	TP5P0551	Ogre	4137125937c0
63-11	UP5P0972	Missouri	6d47c370d233
63-12	TP6P1687	Yossarian	47ca4103ed6c
63-13	UP6P1540	SQL	52ef048a5946
63-14	TP6P1437	Canning_River	d589876c63ce
63-15	UP6P1644	Major_deCoverley	ddf93f202265
63-16	TP5H0213	Olyckskobben	92e88b680800
63-17	UP6P1630	The_Texan	94be8c7c697d
63-18	TP6P1621	Doc_Daneeka	0d3141e409cb
63-19	UP5P0748	Herbology	d181926b5aec
63-20	TP6P1297	The_Hitchhiker	5144dd0bba6c
63-21	UP4P0258	Armadillo	b07345827db0
63-22	TP5Y0069	Zeuthen	4bcf17e1975a
63-23	UP5P0896	Acrotomophilia	88a8860e4d3a
63-24	TP6Y4287	Sita	4d40d01bad1c
63-25	UP6P1598	Major_Sanderson	44cd836bd763
63-26	TP6P1587	Duck_Hunt	6f2a6d70f69e
63-27	UP6P1614	Civilization	615d096bc5e5
63-28	TP5H0135	Buskharan	be4aa5ff4ff4
63-29	UP6P1434	Anaktuvuk_River	0562f85ae5b8
63-30	TP6P1607	CID_Investigators	5e633c97ea19
63-31	UP6Y4280	Nefertem	fc3381009f22
63-32	TP6P1625	Nurse_Cramer	63fc15ab49b0
63-33	UP5P0604	Griffin	1f624b09cea7
63-34	TP6P1627	Appleby	cb545b4fdb54
63-35	UP6P1628	Dr_Stubbs	684becf71b17
63-36	TP6P1623	Major_Danby	72e5530b266d
63-37	UP6P1552	Warcraft	2205398c3090
63-38	TP5P0553	Zip	bd06e45c878a
63-39	UP6P1542	Mario_Tennis	b12bafa1a1b0
63-40	TP5P0747	Oombrophilia	6af7b1e65fb6
63-41	UP7P2100	Feta	310d32303eba
63-42	TP5P0515	Taku_Wind	ae60b63969e2
63-43	UP4Y0028	Regenten_Pils	0e7057aac4c7
63-44	TP6P1629	Aardvark22	fd3fdcb72756
63-45	UP5Y0088	Fiat_124	f272122cafc2
63-46	TP6P1553	Super_Smash_Brothers	4ce2a30b80f4
63-47	UP6P1356	Double_Helix	01b940f4eff3
63-48	TP5P0579	Pagophobia	58681d58fc77
63-49	UP6P1626	Corporal_Snark	95f39891b1b3
63-50	TP6P1279	Friday_The_13	09e50581b04b
63-51	UP6P1596	Lieutenant_Scheisskopf	fcb9c520a031
63-52	TP6P1631	Aarfy	040222704ea9
63-53	UP6P1472	Black_River	ee18c423f491
63-54	TP6P1421	APL	03a8ad82d44a
63-55	UP6P1454	Alsek_River	f07c25974859
63-56	TP6P1211	Bluebell	a8ca9c01fdcf
63-57	UP5P0806	Aerology	912af53ec50b
63-58	TP6P1455	Chena_River	5718b2191491
63-59	UP5P0734	Audiology	094e2c31fa02
63-60	TP6P1485	Lyric	42b30c6c9b6c
63-61	AP6P1122	Ice_Stop	efccec552bb1
63-62	AP6P1113	Non_Stop	bd4f982f0ee7
63-63	AP6P1105	Stop	0eb5f7591b52
63-64	AP6P1107	Rest_Stop	434bab0f7420
64-01	UP6P1448	Ada	21162e0dc10e
64-02	TP4P0305	Tuco_Tuco	8da452c4f1b0
64-03	UP6P1450	Applescript	fbc76652eb62
64-04	TP5P0837	Thalassophilia	a528dd8e8fab
64-05	UP6P1372	Stud_Poker	3d4fa89bd1c1
64-06	TP4P0289	Solenodon	43988d49d43f
64-07	UP6P1600	General_Scheisskopf	2ba62200004d
64-08	TP6P1447	BASIC	043b9259cfe0
64-09	UP5H0140	Havssula	ef911a352f96
64-10	TP6P1593	Missle_Command	84e80de6727d
64-11	UP5P0852	Hematology	d2bff636c954
64-12	TP5P0791	Nashville	13ab0a4b7198
64-13	UP7P2122	Wensleydale	46bc9930c0a0
64-14	TP6Y4481	Chem	75c11de211e3
64-15	UP5Y0118	Lada_2110	68cd09aee818
64-16	TP6P1603	Gray	2774a88da4b0
64-17	UP6P1620	Close_Encounters	9efb62d7b3c5
64-18	TP6P1381	Go_Fish	f0b144f2799d
64-19	UP6P1638	Annie_Hall	1e79154829b9
64-20	TP6P1703	Conversation	db35ff66b8a9
64-21	UP6P1654	Manhattan	a75b83672b4b
64-22	TP6P1575	Mr_Bukie	6036502b646b
64-23	UP6P1616	Tie_Fighter	669dc35dbcdb
64-24	TP5P0891	Henize_70	0174782517fd
64-25	UP4P0332	Horse	ff81f11d555e
64-26	TP6Y4439	Kamadewa	dfcb891f550d
64-27	UP5P0678	Ereuthophobia	0912cde99f01
64-28	TP6P1483	JOSS	62e4909d4660
64-29	UP6Y4428	Ambrosia	eac31cc54fd3
64-30	TP5P0835	Ophiophilia	66f33c9ca1e1
64-31	UP6P1400	Tonk_Card	5908f24b2a81
64-32	TP5P0641	Potamophobia	24e0bee78863
64-33	UP6P1562	Sonic_The_Hedgehog	48bf05cb2b8b
64-34	TP6P1583	Ka_BOOM	acfd6e6e02d8
64-35	UP6P1662	Deer_Hunter	1055fbeabe2c
64-36	TP5H0175	Duva	134a3b5ee859
64-37	UP5P0516	Brisote	f4dee2a2de14
64-38	TP6P1573	Gauntlet	b04948f85b45
64-39	UP5P0900	Nevada	dd2545ce83c8
64-40	TP5P0863	St_Paul	fd100d1f402e
64-41	UP5P0792	Astrology	8f61424af0b3
64-42	TP5P0921	Rhinophilia	2aa57b44710a
64-43	UP5P0920	Daikaku_Inumura	da1c453c5155
64-44	TP6P1655	Grand_Theft_Auto	7f3699e36861
64-45	UP6P1402	Spoons_Card	de3638988fd0
64-46	TP6P1453	BLISS	866da7df22b7
64-47	UP5Y0134	Mack_Bulldog	7126c7040a99
64-48	TP4Y0049	Barre	a2ac5b39f907
64-49	UP6P1378	Seven_Bridge	dfe6e7f9ecf1
64-50	TP5P0997	Malariaish	dea449736bc7
64-51	UP4P0202	Guacamole	6f2d8701e1ba
64-52	TP5H0149	Korp	6486b9f6c41a
64-53	UP6P1848	Rota	2da380c96898
64-54	TP5Y0179	Aston_Martin_V12	a3e1a74474ba
64-55	UP4P0310	Ferret	aa9ebf82d2b0
64-56	TP6P1551	Castlevania	0dddc6303d32
64-57	UP5P0938	Wisconsin	27fb549b59ac
64-58	TP6P1363	Oh_Hell	6cfa86271497
64-59	UP5P1014	Massachusetts	4fe753ce0042
64-60	TP5P0661	Pupaphobia	18b8bb5db69e
64-61	AP6P1124	Carrot_Top	8b6b6e4a1b47
64-62	AP6P1148	Mountain_Top	5a257552cd07
64-63	AP6P1149	Tippy_Top	d2c6b1cc481d
64-64	AP6P1150	Black_Top	e2ce835e7ad7
65-01	UP6Y4360	Tlaloc	4c59eb30ab3d
65-02	TP6Y4311	Nandi	0923e78e8b10
65-03	UP6P1382	Five_Crowns	9847693c1197
65-04	TP6P1277	Pet_Sematary	7b96954a32aa
65-05	UP6Y4472	Meru	b9e216d3fde2
65-06	TP6Y4413	Arjaman	19768b41eb40
65-07	UP5P0624	Gamophobiaish	12d916cbdf3f
65-08	TP5P0957	Iris_Nebula	e9352e8a1a4f
65-09	UP6Y4468	Nakula	be3331313abb
65-10	TP6Y4427	Svaha	0f77df4bea5b
65-11	UP5P1058	Chickenpox	290146796959
65-12	TP5P0949	Babesiosis	359ab791855c
65-13	UP6P1258	Sunflower	0e348f2ac104
65-14	TP5P0965	Typhus	52e182d94695
65-15	UP5P0956	South_Dakota	d97c010a948b
65-16	TP6Y4443	Diti	cbf1705315f4
65-17	UP6Y4450	Songshan	28dccc99bdc9
65-18	TP6P1399	Bid_Poker	8ca33eaaaad0
65-19	UP6P1234	Flowering_Peach	fc2bb7c46ce5
65-20	TP6P1207	Marigold	6584af07a218
65-21	UP6Y4432	Agni	70e229a3d5eb
65-22	TP6Y4381	Lao_tzu	359b91e881e6
65-23	UP6P1256	Buckbean	db32d1a4bdb4
65-24	TP6Y4411	Danu	349c9e233928
65-25	UP6Y4366	Kashjapa	45277d29f268
65-26	TP6Y4367	Lokapala	6204d28017f5
65-27	UP6Y4410	Garuda	6b97625c90eb
65-28	TP5P0547	Solar_Nebula	ec9dc048fc34
65-29	UP5H0156	Morkulla	b62e1b76c3c8
65-30	TP6Y4437	Brahma	a1e00e525b7a
65-31	UP5H0238	Sillgrissla	8fdac13e5374
65-32	TP5H0189	Domherre	4959df8ace2a
65-33	UP6P1238	Michael_Myers	ddcb27ef88bc
65-34	TP5P0529	Williwaw	9edc6493b06f
65-35	UP6P1390	Canasta	5afd3f215d81
65-36	TP6P1269	Waxflower	5b2cc2c12263
65-37	UP5P1030	Michigan	c672f3060de0
65-38	TP6P1377	Gin_Rummy	5edab51ff2b5
65-39	UP6P1230	Montbretia	24821a5d2f9e
65-40	TP6P1393	3_card_Poker	49df544c6bb6
65-41	UP5Y0120	Lamborghiniish	fd6b929431a1
65-42	TP6P1401	Slapjack	b9d6499bdee3
65-43	UP6P1264	Mistletoe	a32b7fd53d3e
65-44	TP6P1263	Windflower	92dc1ed61ca4
65-45	UP6Y4242	Ah_Puch	7554a446d6f9
65-46	TP6P1385	Whist	8bf5630b3c4d
65-47	UP6P1414	Thirty_One	a1e4d1c6eeb7
65-48	TP6P1253	Hyssop	b2b856d94cff
65-49	UP6P1392	Blackjack	606e6e67b4a5
65-50	TP6P1301	Living_Dead	6f500c102b78
65-51	UP6P1408	Phase_10	fa0fa12e3be3
65-52	TP5P0961	Polio	e5b9c62cda24
65-53	UP6P1406	Wyatt_Earp	4d5e6c4d16a6
65-54	TP6P1375	UNO_Card	703a2326e0f5
65-55	UP5P0598	Ergophobia	34bb7d414187
65-56	TP5P0743	Trichophilia	9bc7b6bc3d55
65-57	UP6P1410	Kings_In_The_Corner	c1a258bb155e
65-58	TP6P1373	Barbu_Card	1b924a8b2264
65-59	UP5P1034	Rotavirus	f6cce01fe708
65-60	TP6P1391	Baccarat	d4ff422e05b5
65-61	AP6P1115	Skip_Stop	4fc540c56b6c
65-62	AP6P1121	Slide_Stop	26fc676d9182
65-63	AP6P1104	Hard_Stop	21a709d3d347
65-64	AP6P1129	A_Top	700721bb194d
66-01	UP5Y0086	Ferrari_Berlinetta	bfa834afcdd0
66-02	TP5P0751	Virology	a5bc3d83770a
66-03	UP6Y4348	Ometeotl	7b2b9af690bb
66-04	TP5P0755	Teratology	51c658ff1374
66-05	UP6Y4338	Tzinteotl	828f81952f68
66-06	TP5P0627	Werewolf	499ccc773077
66-07	UP4P0338	Impala	35cea9c080cd
66-08	TP6Y4229	Jaguarnacht	bb2b2b100a44
66-09	UP6Y4388	Avatara	0e8d14c646de
66-10	TP6Y4261	Krischna	ed772112fcc6
66-11	UP5P0960	Utah	ca76eeb18aea
66-12	TP6Y4371	Parvati	581a272aeb03
66-13	UP6Y4372	Rukmini	758a1db915e3
66-14	TP6Y4379	Rama	fce45a8cb7e9
66-15	UP6Y4414	Raktavija	db21e2db154f
66-16	TP6Y4293	Tohil	0af1d2727f85
66-17	UP6Y4290	Draupadi	35498bccdf32
66-18	TP4P0319	Whale	a966a879a5d2
66-19	UP6Y4328	Ab_Kin_Xoc	8b3c3b779e54
66-20	TP5P0693	Scoleciphobia	4489b43873ed
66-21	UP5P0784	Bryology	43149cdc4362
66-22	TP4P0329	Zebra	331f61511a11
66-23	UP5P0610	Hobbit	667f78126c95
66-24	TP6Y4323	Ah_Kinchil	c09ad7a7ea16
66-25	UP6Y4358	Quetzalcoatl	4eb08e5f5057
66-26	TP6Y4445	Sche	ec760a0d92a0
66-27	UP6Y4470	Hou_I	92110d8bc5a5
66-28	TP6Y4333	Ahau_Kin	43ac1088a59c
66-29	UP6Y4318	Ah_Mucen_Cab	0445154519b2
66-30	TP6Y4285	Ixtab	7a74a516ac4d
66-31	UP6Y4286	Ajbit	57e93012557d
66-32	TP6Y4353	Hui_Lu	c86b435002ae
66-33	UP5P1032	New_York	4d38b217afdd
66-34	TP6Y4461	Dou_Mu	e036bfeee59e
66-35	UP5P0820	Craniology	565ea2e2ee72
66-36	TP6Y4275	Trimurti	8ce4556a93d3
66-37	UP5P0706	Agliophobia	7365347f0de0
66-38	TP6Y4471	Huashan	4c374b876b97
66-39	UP5P0696	Kosmikophobia	851afc048183
66-40	TP4Y0039	Weldebreu	cfb24ed5b739
66-41	UP5P0966	Maine	0bb095559b9a
66-42	TP5P0583	Thermophobia	a3ae4b646a70
66-43	UP5P0932	Kentucky	0f86b06bd172
66-44	TP4P0269	Rat	3096fbff3f93
66-45	UP4P0240	Alpaca	119036837ee8
66-46	TP5P0883	Tallahassee	9e2f2d9c60f4
66-47	UP5P0950	Idaho	21bd9768001a
66-48	TP5P0635	Tomophobia	d0d1f175d948
66-49	UP5P0646	Dentophobia	1183ea03ee2b
66-50	TP5P0873	Denver	42668f1a5b69
66-51	UP5P0640	Algophobia	7decbe7147e1
66-52	TP5P0563	Yali	4c1bb36bbb1d
66-53	UP4P0354	Llama	f473eca3fcf1
66-54	AP4P0059	Romulus	c9e3547421af
66-55	UP5P0766	Axiology	87f40dd137fc
66-56	AP4P0064	Tekka	0c1c89219bb6
66-57	UP5P0536	Chubasco	e8436c102150
66-58	TP5P0567	Poki	c49eef83c4be
66-59	UP5P0750	Archeology	0fa175799dac
66-60	TP4P0079	Lemon	7b2214c1af15
66-61	TP4P0183	Cabernet_sauvignon	9355a9ae0ac7
66-62	TP4P0261	Puma	bd8dc77c11c0
66-63	AP5P0405	Mitmit	954812757638
66-64	TP4P0187	Pyrrole	f9286ecd7f2e
67-01	UP5Y0226	Toyota_Celica	44c16f980468
67-02	TP6Y4291	Ix_Chel	c65d57f9ef16
67-03	UP5P0518	Elf	8261714f65d8
67-04	TP6P1443	Aniak_River	066b7ebe2c26
67-05	UP6P1430	Utukok_River	7f5ce8a749f0
67-06	TP5P0927	Madison	7c983777b078
67-07	UP5P0586	Boggeyman	42a5ed72a3ef
67-08	TP5P0903	Sacramento	af90a0a41ade
67-09	UP6P1462	Chandalar_River	03ecb484abe8
67-10	TP5P0911	Pierre	a29598735544
67-11	UP5P0834	Glaciology	9b54b20558bd
67-12	TP5P0651	Papaphobia	d307af164254
67-13	UP5P1018	California	e46756e7b9b0
67-14	TP4P0259	Pronghorn	06614a6ffcd4
67-15	UP5P0982	South_Carolina	8a3dc4b3c68e
67-16	TP4P0275	Serow	1713d9af3072
67-17	UP5P0764	Ethology	d897bae245bb
67-18	TP5P0749	Theology	90302720fdf2
67-19	UP4P0248	Cinnamaldehyde	729a1180042d
67-20	TP5P0895	Providence	10e327bccef2
67-21	UP6P1444	Chakachatna_River	862c6d0172c6
67-22	TP5P0687	Rupophobia	03da59feece2
67-23	UP6P1476	Stony_River	523be04a283b
67-24	TP5P0889	Harrisburg	091be8177ab9
67-25	UP5P0704	Acrophobia	2129000445ac
67-26	TP5P0653	Wiccaphobia	d51568afe402
67-27	UP5P0660	Decidophobia	53fd9cf5ee98
67-28	TP5P0787	Seismology	00cc7121317b
67-29	UP5Y0078	EDAG_Scoutish	35daf4dd3653
67-30	TP5Y0215	Crosley_Curtis	6e3f8b69462a
67-31	UP5Y0160	Nash_Special_6	1248d1f7b12b
67-32	TP5Y0125	Springfuhl	6b2595d39948
67-33	UP5Y0096	Hudson_Hornet	07dfecb0394d
67-34	TP5Y0165	Wuhletal	236be57e9c5a
67-35	UP6P1496	Coleen_River	ded59285c47d
67-36	TP6P1463	Buckland_River	9f05fd6341a1
67-37	UP5P0814	Ethnology	3a4bc102e538
67-38	TP5P0565	Ukoyish	3150e8f8e6b4
67-39	UP5P0876	Hispanophilia	d667d8e59b37
67-40	TP5P0619	Microphobia	0daa3dfe9ae3
67-41	UP5P0502	Barat	6c62cee79e41
67-42	TP5P0825	Technophilia	6e5557701717
67-43	UP6P1504	Endicott_River	0be7ec07c986
67-44	TP5P0621	Trasgu	3ec9d05fddda
67-45	UP4P0322	Goat	2869b3f98c1f
67-46	TP6P1459	Skwentna_River	0aa34ece576e
67-47	UP6P1422	Copper_River	3f028cb686b7
67-48	TP4Y0017	Bitburger	f16f3e478eed
